title,rating,comments_count,director,writer,actors,genres,country_region,release_year,link
肖申克的救赎 The Shawshank Redemption,9.7,3269851,弗兰克·德拉邦特,弗兰克·德拉邦特/斯蒂芬·金,蒂姆·罗宾斯/摩根·弗里曼/鲍勃·冈顿/威廉·赛德勒/克兰西·布朗,剧情/犯罪,,1994,https://movie.douban.com/subject/1292052/
霸王别姬,9.6,2412080,陈凯歌,芦苇/李碧华,张国荣/张丰毅/巩俐/葛优/英达,剧情/爱情/同性,,1993,https://movie.douban.com/subject/1291546/
泰坦尼克号 Titanic,9.5,2486377,詹姆斯·卡梅隆,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥/凯特·温斯莱特/比利·赞恩/凯西·贝茨/弗兰西丝·费舍,剧情/爱情/灾难,,1998,https://movie.douban.com/subject/1292722/
阿甘正传 Forrest Gump,9.5,2420251,罗伯特·泽米吉斯,埃里克·罗思/温斯顿·格鲁姆,汤姆·汉克斯/罗宾·怀特/加里·辛尼斯/麦凯尔泰·威廉逊/莎莉·菲尔德,剧情/爱情,,1994,https://movie.douban.com/subject/1292720/
千与千寻 千と千尋の神隠し,9.4,2524860,宫崎骏,宫崎骏,柊瑠美/入野自由/夏木真理/菅原文太/中村彰男,剧情/动画/奇幻,,2019,https://movie.douban.com/subject/1291561/
美丽人生 La vita è bella,9.5,1475974,罗伯托·贝尼尼,温琴佐·切拉米/罗伯托·贝尼尼,罗伯托·贝尼尼/尼可莱塔·布拉斯基/乔治·坎塔里尼/朱斯蒂诺·杜拉诺/赛尔乔·比尼·布斯特里克,剧情/喜剧/爱情/战争,,2020,https://movie.douban.com/subject/1292063/
星际穿越 Interstellar,9.4,2168178,克里斯托弗·诺兰,乔纳森·诺兰/克里斯托弗·诺兰,马修·麦康纳/安妮·海瑟薇/杰西卡·查斯坦/麦肯吉·弗依/卡西·阿弗莱克,剧情/科幻/冒险,,2014,https://movie.douban.com/subject/1889243/
这个杀手不太冷 Léon,9.4,2542925,吕克·贝松,吕克·贝松,让·雷诺/娜塔莉·波特曼/加里·奥德曼/丹尼·爱罗/彼得·阿佩尔,剧情/动作/犯罪,,2024,https://movie.douban.com/subject/1295644/
盗梦空间 Inception,9.4,2315110,克里斯托弗·诺兰,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥/约瑟夫·高登-莱维特/艾利奥特·佩吉/汤姆·哈迪/渡边谦,剧情/科幻/悬疑/冒险,,2010,https://movie.douban.com/subject/3541415/
楚门的世界 The Truman Show,9.4,2007421,彼得·威尔,安德鲁·尼科尔,金·凯瑞/劳拉·琳妮/艾德·哈里斯/诺亚·艾默里奇/娜塔莎·麦克艾霍恩,剧情/科幻,,1998,https://movie.douban.com/subject/1292064/
辛德勒的名单 Schindler's List,9.5,1242305,史蒂文·斯皮尔伯格,托马斯·肯尼利/斯蒂文·泽里安,连姆·尼森/本·金斯利/拉尔夫·费因斯/卡罗琳·古多尔/乔纳森·萨加尔,剧情/历史/战争,,1993,https://movie.douban.com/subject/1295124/
忠犬八公的故事 Hachi: A Dog's Tale,9.4,1537395,拉斯·霍尔斯道姆,斯蒂芬·P·林赛/新藤兼人,理查·基尔/莎拉·罗默尔/琼·艾伦/罗比·萨布莱特/艾瑞克·阿瓦利,剧情,,2009,https://movie.douban.com/subject/3011091/
海上钢琴师 La leggenda del pianista sull'oceano,9.3,1871889,朱塞佩·托纳多雷,亚历山德罗·巴里科/朱塞佩·托纳多雷,蒂姆·罗斯/普路特·泰勒·文斯/比尔·努恩/克兰伦斯·威廉姆斯三世/梅兰尼·蒂埃里,剧情/音乐,,2019,https://movie.douban.com/subject/1292001/
疯狂动物城 Zootopia,9.3,2306259,拜伦·霍华德,拜伦·霍华德/瑞奇·摩尔/杰拉德·布什/吉姆·里尔顿/乔西·特立尼达/菲尔·约翰斯顿/珍妮弗·李,金妮弗·古德温/杰森·贝特曼/伊德瑞斯·艾尔巴/珍妮·斯蕾特/内特·托伦斯,喜剧/动画/冒险,,2016,https://movie.douban.com/subject/25662329/
三傻大闹宝莱坞 3 Idiots,9.2,2070196,拉吉库马尔·希拉尼,维德胡·维诺德·乔普拉/拉吉库马尔·希拉尼/阿希贾特·乔希,阿米尔·汗/卡琳娜·卡普尔/马达范/沙尔曼·乔希/奥米·瓦依达,剧情/喜剧/爱情/歌舞,,2011,https://movie.douban.com/subject/3793023/
机器人总动员 WALL·E,9.3,1484485,安德鲁·斯坦顿,安德鲁·斯坦顿/吉姆·里尔顿/彼特·道格特,本·贝尔特/艾丽莎·奈特/杰夫·格尔林/佛莱德·威拉特/西格妮·韦弗,科幻/动画/冒险,,2008,https://movie.douban.com/subject/2131459/
放牛班的春天 Les choristes,9.3,1467287,克里斯托夫·巴哈蒂,乔治·沙普罗/勒·惠勒/诺埃-诺尔/克里斯托夫·巴哈蒂/菲利普·洛佩斯-屈瓦尔,让-巴蒂斯特·莫尼耶/热拉尔·朱尼奥/弗朗索瓦·贝莱昂/凯德·麦拉德/让-保罗·博奈雷,剧情/音乐,,2004,https://movie.douban.com/subject/1291549/
无间道 無間道,9.3,1557239,刘伟强,麦兆辉/庄文强,刘德华/梁朝伟/黄秋生/曾志伟/陈慧琳,剧情/惊悚/犯罪,,2003,https://movie.douban.com/subject/1307914/
控方证人 Witness for the Prosecution,9.6,736883,比利·怀尔德,比利·怀尔德/哈里·库尼兹/劳伦斯·B·马库斯,泰隆·鲍华/玛琳·黛德丽/查尔斯·劳顿/埃尔莎·兰彻斯特/约翰·威廉姆斯,剧情/悬疑/惊悚/犯罪,,2025,https://movie.douban.com/subject/1296141/
寻梦环游记 Coco,9.1,1976202,李·昂克里奇,阿德里安·莫利纳/马修·奥尔德里奇/李·昂克里奇/詹森·卡茨,安东尼·冈萨雷斯/盖尔·加西亚·贝纳尔/本杰明·布拉特/阿兰娜·乌巴赫/芮妮·维克托,喜剧/动画/音乐/奇幻,,2017,https://movie.douban.com/subject/20495023/
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,9.2,1703191,刘镇伟,刘镇伟/吴承恩,周星驰/吴孟达/朱茵/蔡少芬/蓝洁瑛,喜剧/爱情/奇幻/古装,,2014,https://movie.douban.com/subject/1292213/
熔炉 도가니,9.3,1032551,黄东赫,黄东赫/孔枝泳,孔刘/郑裕美/金贤秀/郑仁絮/白承焕,剧情,,2011,https://movie.douban.com/subject/5912992/
触不可及 Intouchables,9.3,1289386,奥利维埃·纳卡什,奥利维埃·纳卡什/埃里克·托莱达诺,弗朗索瓦·克鲁塞/奥玛·希/安娜·勒尼/奥德雷·弗勒罗/约瑟芬娜·德·摩,剧情/喜剧,,2011,https://movie.douban.com/subject/6786002/
教父 The Godfather,9.3,1101881,弗朗西斯·福特·科波拉,马里奥·普佐/弗朗西斯·福特·科波拉,马龙·白兰度/阿尔·帕西诺/詹姆斯·肯恩/理查德·S·卡斯特尔诺/罗伯特·杜瓦尔,剧情/犯罪,,1972,https://movie.douban.com/subject/1291841/
末代皇帝 The Last Emperor,9.3,1024036,贝纳尔多·贝托鲁奇,贝纳尔多·贝托鲁奇/马克·派普罗,尊龙/陈冲/邬君梅/彼得·奥图尔/英若诚,剧情/传记/历史,,1987,https://movie.douban.com/subject/1293172/
哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,9.2,1415263,克里斯·哥伦布,史蒂夫·克洛夫斯/J·K·罗琳,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/艾伦·瑞克曼/玛吉·史密斯,奇幻/冒险,,2002,https://movie.douban.com/subject/1295038/
当幸福来敲门 The Pursuit of Happyness,9.1,1681615,加布里埃莱·穆奇诺,斯蒂夫·康拉德,威尔·史密斯/贾登·史密斯/坦迪·牛顿/布莱恩·豪威/詹姆斯·凯伦,剧情/家庭/传记,,2008,https://movie.douban.com/subject/1849031/
龙猫 となりのトトロ,9.2,1405702,宫崎骏,宫崎骏,日高范子/坂本千夏/糸井重里/岛本须美/北林谷荣,动画/奇幻/冒险,,2018,https://movie.douban.com/subject/1291560/
